attributes.environment-material;0
Clay;18
ENVO:00001998;36
ENVO:00002045;6
ENVO:00005773;16
ENVO:01000338;12
ENVO:biofilm material;36
ENVO:soil;1062
Mud;1
Peat;3
Sand;12
Soil;1211
a;1055
agricultural soil;81
air;45
biochar;9
biofilm;2
bulk soil;390
carbon dioxide-reducing sediment;14
coarse andosol;17
contaminated soil;6
contaminated soil(ENVO:00002116);1
forest soil;87
freshwater sediment;30
granular sediment;3
grassland soil ENVO:00005773;31
groundwater;120
lichen;8
lichens;8
loam;1
microbial control;1
mix of soil and postproduction wastes;26
oil field production water;7
pasture soil;12
peat soil;8
permafrost;1
rock;6
sand;4
sands;1
sandstone;8
sediment;76
soil;8276
soil (ENVO:00001998);4
upland soil;31
volcanic soil;2
waste;1
water;24
